SensorID,Temp,Salinity,PH,NH4,DO,CA,Timestamp
Sensor-90,26.56,0.21,8.33,7.98,9.11,6.57,2025-06-02 13:57:46
Sensor-91,29.32,0.05,6.82,5.45,9.44,5.80,2025-06-02 18:18:06
Sensor-92,24.81,1.52,7.88,59.80,11.93,4.14,2025-06-02 11:40:57
Sensor-93,19.20,0.90,8.67,55.24,9.07,2.70,2025-06-03 03:08:59
Sensor-94,23.16,1.48,7.86,64.93,14.66,12.08,2025-06-02 10:02:05
Sensor-95,25.57,0.66,4.95,98.52,2.68,10.43,2025-06-02 12:54:14
Sensor-96,23.35,0.49,7.49,4.88,7.72,8.04,2025-06-02 19:12:56
Sensor-97,19.58,0.81,5.09,60.60,4.10,8.42,2025-06-03 00:15:54
Sensor-98,21.84,0.21,7.35,36.47,10.96,7.36,2025-06-02 14:05:19
Sensor-99,26.34,0.26,7.92,1.74,7.38,8.05,2025-06-02 21:16:19
Sensor-100,20.38,0.17,7.58,37.60,5.57,4.04,2025-06-02 22:15:41
Sensor-1,15.24,1.18,4.14,85.65,14.45,7.07,2025-06-02 09:28:20
Sensor-2,12.87,1.76,4.86,81.09,6.37,8.46,2025-06-03 04:52:30
Sensor-3,27.07,1.72,3.15,81.24,11.71,11.03,2025-06-03 00:36:49
Sensor-4,16.56,0.80,9.35,74.97,11.34,12.31,2025-06-03 01:28:29
Sensor-5,39.26,1.43,9.78,57.14,6.14,7.05,2025-06-03 02:59:22
Sensor-6,39.36,0.96,9.47,93.54,10.80,7.51,2025-06-03 08:33:14
Sensor-7,22.11,0.48,8.36,20.52,6.69,5.07,2025-06-02 15:34:04
Sensor-8,30.90,1.21,4.74,76.30,13.87,2.34,2025-06-03 03:00:15
Sensor-9,26.24,0.40,7.99,18.66,6.64,4.65,2025-06-02 18:16:54
Sensor-10,25.77,0.06,7.05,9.84,11.83,5.59,2025-06-03 05:51:56
Sensor-11,36.60,1.30,7.49,48.97,7.44,4.53,2025-06-02 15:48:40
Sensor-12,30.28,1.53,7.92,83.86,9.26,1.71,2025-06-03 03:51:57
Sensor-13,28.33,0.30,8.40,31.92,5.20,5.96,2025-06-03 04:20:14
Sensor-14,31.14,0.81,8.16,53.93,12.09,1.71,2025-06-02 15:35:22
Sensor-15,10.82,0.50,8.16,96.81,1.59,8.43,2025-06-02 12:32:30
Sensor-16,22.74,0.29,7.37,6.66,8.46,8.01,2025-06-03 05:45:25
Sensor-17,14.36,0.98,3.41,76.67,8.84,8.02,2025-06-02 22:39:09
Sensor-18,23.23,0.12,6.81,1.24,6.15,7.12,2025-06-02 23:14:35
Sensor-19,12.33,1.69,3.07,88.94,7.95,3.61,2025-06-03 03:24:20
Sensor-20,22.74,0.37,6.92,13.45,10.23,6.49,2025-06-02 19:34:58
Sensor-21,27.15,0.42,8.36,16.51,9.55,7.48,2025-06-02 20:01:09
Sensor-22,20.68,0.12,8.06,15.23,8.86,4.42,2025-06-02 23:21:46
Sensor-23,35.65,0.50,4.68,73.45,9.31,6.82,2025-06-03 07:33:20
Sensor-24,29.14,0.82,9.53,58.16,10.22,7.64,2025-06-02 09:45:29
Sensor-25,25.57,0.17,6.57,41.99,9.53,4.34,2025-06-02 20:13:10
Sensor-26,22.17,0.73,4.72,92.96,13.01,12.53,2025-06-02 11:54:58
Sensor-27,22.40,0.08,6.55,3.24,9.87,6.07,2025-06-02 19:33:56
Sensor-28,20.76,0.11,8.27,33.02,11.66,9.96,2025-06-02 17:13:12
Sensor-29,32.44,0.68,6.50,69.90,13.60,0.11,2025-06-02 11:27:13
Sensor-30,22.59,0.31,7.48,46.73,8.34,4.84,2025-06-03 05:01:08
Sensor-31,23.42,0.10,7.26,2.59,9.24,4.78,2025-06-03 06:42:06
Sensor-32,11.65,1.64,6.30,63.10,7.75,0.76,2025-06-03 06:42:18
Sensor-33,33.45,0.98,3.50,46.68,5.63,5.49,2025-06-03 03:54:05
Sensor-34,27.19,1.37,5.03,74.85,6.15,7.84,2025-06-03 06:51:14
Sensor-35,24.95,1.15,5.39,97.77,3.28,11.42,2025-06-02 13:17:05
Sensor-36,27.87,0.21,7.78,41.88,9.97,4.07,2025-06-02 20:38:17
Sensor-37,28.61,0.11,6.94,30.33,10.53,9.97,2025-06-03 05:56:14
Sensor-38,33.16,1.84,7.17,79.30,0.83,1.95,2025-06-03 03:59:42
Sensor-39,28.92,1.80,4.67,56.51,3.90,11.00,2025-06-02 11:12:17
Sensor-40,20.19,0.37,6.97,28.96,6.44,5.05,2025-06-03 00:59:53
Sensor-41,21.02,0.19,8.31,23.26,6.66,4.36,2025-06-03 05:24:17
Sensor-42,28.18,0.47,6.63,48.57,6.00,7.48,2025-06-03 07:59:57
Sensor-43,36.88,0.93,8.01,92.49,0.16,5.97,2025-06-03 00:27:49
Sensor-44,26.59,0.03,8.10,8.74,11.92,3.49,2025-06-02 21:31:19
Sensor-45,17.29,1.34,5.53,73.35,0.43,14.36,2025-06-03 07:40:55
Sensor-46,26.29,0.14,6.69,3.06,8.90,4.25,2025-06-02 20:48:42
Sensor-47,15.59,1.64,4.61,42.31,14.21,11.54,2025-06-02 22:30:57
Sensor-48,26.14,0.37,8.00,24.34,9.22,4.20,2025-06-03 08:29:04
Sensor-49,29.08,0.04,8.01,4.44,9.77,4.51,2025-06-03 07:31:11
Sensor-50,18.49,1.69,3.62,77.05,3.36,2.48,2025-06-02 23:33:47
Sensor-51,33.53,0.86,4.94,89.13,10.74,2.18,2025-06-03 00:58:09
Sensor-52,27.90,0.82,8.85,77.72,7.77,7.15,2025-06-03 03:11:12
Sensor-53,24.63,0.16,6.60,14.18,7.56,8.54,2025-06-02 11:51:06
Sensor-54,23.74,0.05,8.25,3.09,10.91,7.01,2025-06-02 12:17:52
Sensor-55,38.51,0.50,5.99,66.10,1.08,5.49,2025-06-02 17:27:25
Sensor-56,27.46,0.23,6.53,24.55,8.93,4.04,2025-06-03 03:17:51
Sensor-57,21.88,0.04,7.69,42.69,6.91,4.90,2025-06-02 15:27:33
Sensor-58,15.03,1.63,8.69,92.95,3.35,2.73,2025-06-02 22:18:31
Sensor-59,24.36,0.21,7.19,44.35,5.85,8.81,2025-06-02 20:23:58
Sensor-60,16.02,1.94,8.65,72.54,14.33,4.76,2025-06-02 14:43:45
Sensor-61,29.46,0.78,9.99,46.23,13.05,9.65,2025-06-03 05:13:55
Sensor-62,35.38,1.41,6.15,40.66,6.03,3.45,2025-06-03 01:21:32
Sensor-63,25.69,0.50,7.70,21.05,10.81,6.99,2025-06-02 18:24:46
Sensor-64,33.47,0.67,4.86,80.55,5.69,5.96,2025-06-02 16:40:23
Sensor-65,21.81,0.03,7.87,10.16,7.19,8.07,2025-06-02 17:51:35
Sensor-66,28.05,0.23,6.77,28.21,5.11,3.07,2025-06-02 14:41:45
Sensor-67,24.23,0.17,7.82,6.09,10.10,3.13,2025-06-03 03:25:29
Sensor-68,24.75,0.31,8.25,26.77,5.39,7.81,2025-06-02 16:30:15
Sensor-69,16.18,1.72,7.56,95.03,2.31,3.11,2025-06-02 22:04:28
Sensor-70,36.59,1.04,8.76,44.65,5.08,12.45,2025-06-02 16:25:01
Sensor-71,26.32,1.76,7.44,56.10,3.15,4.88,2025-06-03 09:07:44
Sensor-72,29.24,0.41,7.82,25.20,10.03,8.65,2025-06-02 12:10:12
Sensor-73,20.13,0.35,7.52,12.61,7.05,4.93,2025-06-03 08:39:11
Sensor-74,28.83,0.32,6.52,2.39,9.47,7.80,2025-06-03 06:27:59
Sensor-75,25.42,1.34,8.33,84.55,11.52,12.11,2025-06-02 17:46:05
Sensor-76,22.18,0.06,7.43,19.83,9.94,5.26,2025-06-02 11:27:28
Sensor-77,16.50,1.19,9.52,71.99,7.42,9.24,2025-06-02 15:17:56
Sensor-78,25.86,0.01,6.92,31.90,10.66,7.31,2025-06-02 21:17:18
Sensor-79,29.29,0.32,8.36,40.78,7.95,8.14,2025-06-03 05:11:00
Sensor-80,22.29,1.60,4.51,91.52,9.14,10.05,2025-06-02 13:04:49
Sensor-81,22.21,0.36,7.77,16.21,8.97,4.56,2025-06-03 00:59:53
Sensor-82,24.34,0.32,7.89,27.24,9.24,6.35,2025-06-03 07:34:21
Sensor-83,20.12,0.89,4.41,46.97,13.37,7.74,2025-06-03 01:53:30
Sensor-84,27.17,1.54,6.74,99.10,9.62,11.81,2025-06-02 18:44:51
Sensor-85,22.28,0.11,7.70,48.53,7.28,5.74,2025-06-03 06:27:49
Sensor-86,24.05,1.30,4.90,44.15,11.31,14.11,2025-06-02 10:12:33
Sensor-87,12.03,1.69,9.47,72.97,0.50,5.74,2025-06-02 21:30:38
Sensor-88,19.26,0.57,6.64,46.09,6.31,8.47,2025-06-03 05:41:45
Sensor-89,20.58,0.36,8.01,33.36,9.15,9.48,2025-06-02 09:49:40
Sensor-90,24.56,0.41,5.64,81.16,1.94,10.89,2025-06-02 23:59:41
Sensor-91,21.70,0.28,8.43,40.43,5.22,3.14,2025-06-02 12:34:02
Sensor-92,29.75,0.16,6.60,27.01,10.63,8.73,2025-06-02 18:06:11
Sensor-93,22.67,0.06,7.21,4.93,6.72,7.24,2025-06-03 05:02:52
Sensor-94,27.84,0.26,7.42,3.34,11.95,8.19,2025-06-02 11:54:01
Sensor-95,22.23,0.33,8.18,36.41,6.61,6.78,2025-06-03 01:52:37
Sensor-96,16.76,1.43,6.31,99.46,1.80,0.20,2025-06-03 03:38:55
Sensor-97,10.75,0.64,6.51,58.55,6.08,9.81,2025-06-02 09:51:10
Sensor-98,30.10,1.20,6.67,64.99,10.54,11.72,2025-06-02 20:54:00
Sensor-99,10.59,1.51,4.19,58.41,5.14,8.66,2025-06-02 13:44:50
Sensor-100,23.22,0.01,8.37,12.40,5.29,8.79,2025-06-02 21:12:58
Sensor-1,29.67,1.16,8.42,83.86,11.95,0.92,2025-06-03 00:17:17
Sensor-2,20.18,1.61,4.04,45.11,6.75,5.70,2025-06-02 21:28:45
Sensor-3,26.80,0.05,7.64,1.51,11.17,5.59,2025-06-02 11:35:27
Sensor-4,21.87,0.46,7.77,0.07,7.04,7.41,2025-06-02 19:01:09
Sensor-5,32.41,1.92,7.28,81.89,10.17,0.13,2025-06-02 15:45:39
Sensor-6,17.71,1.83,4.68,77.20,12.02,2.74,2025-06-02 20:08:34
Sensor-7,13.57,1.24,4.58,63.50,2.25,4.75,2025-06-02 12:30:52
Sensor-8,24.26,0.33,7.11,5.18,10.66,4.15,2025-06-03 03:01:25
Sensor-9,31.04,1.32,5.64,54.52,5.86,5.00,2025-06-03 02:21:34
Sensor-10,25.66,1.45,5.98,70.41,11.18,7.16,2025-06-03 02:15:32
Sensor-11,30.89,1.82,7.32,68.03,10.51,4.32,2025-06-02 16:25:38
Sensor-12,25.48,0.42,6.60,47.31,9.79,6.60,2025-06-02 16:06:10
Sensor-13,22.25,0.11,8.12,18.49,9.82,6.01,2025-06-02 18:56:28
Sensor-14,25.29,0.41,7.99,38.92,5.23,4.61,2025-06-02 11:32:39
Sensor-15,28.22,0.17,7.02,37.62,6.87,7.44,2025-06-03 07:15:16
Sensor-16,22.28,0.47,8.23,12.42,10.21,6.85,2025-06-03 06:47:05
Sensor-17,26.05,1.47,8.33,86.20,11.24,0.68,2025-06-03 09:17:49
Sensor-18,14.47,1.95,4.65,95.83,14.97,9.00,2025-06-03 02:35:18
Sensor-19,17.92,0.98,8.44,83.59,11.11,9.56,2025-06-02 16:22:31
Sensor-20,11.21,1.82,4.20,74.39,3.78,0.31,2025-06-02 12:34:21
Sensor-21,32.54,0.95,8.37,65.80,12.69,5.26,2025-06-03 05:23:07
Sensor-22,20.19,0.07,7.64,6.11,9.95,6.04,2025-06-03 06:08:53
Sensor-23,13.17,1.76,4.17,69.15,13.38,14.05,2025-06-03 05:23:03
Sensor-24,24.82,1.99,5.98,93.85,8.71,11.32,2025-06-03 05:04:09
Sensor-25,20.09,0.08,8.02,0.09,10.93,5.21,2025-06-02 18:10:35
Sensor-26,24.19,1.13,5.03,82.23,11.04,7.28,2025-06-02 11:12:40
Sensor-27,11.36,0.47,6.09,95.89,4.87,6.18,2025-06-03 06:01:49
Sensor-28,38.81,0.72,8.48,65.92,6.60,8.99,2025-06-02 17:23:17
Sensor-29,20.36,1.74,6.38,79.74,2.99,1.85,2025-06-02 23:18:34
Sensor-30,28.46,0.39,8.10,33.26,10.37,5.91,2025-06-02 23:50:31
Sensor-31,29.51,0.35,6.68,23.32,9.86,9.45,2025-06-02 23:38:41
Sensor-32,28.48,0.49,7.07,39.52,8.20,9.73,2025-06-03 02:32:53
Sensor-33,29.58,0.18,8.27,40.98,8.80,9.92,2025-06-02 15:39:01
Sensor-34,23.45,0.36,6.60,48.45,9.04,7.47,2025-06-02 10:51:24
Sensor-35,13.77,1.81,3.91,57.86,11.41,9.46,2025-06-02 23:18:53
Sensor-36,25.89,1.45,5.69,62.86,12.47,13.29,2025-06-03 05:43:56
Sensor-37,14.00,1.73,4.73,93.38,9.62,4.83,2025-06-02 20:38:18
Sensor-38,23.19,0.14,7.85,44.41,9.33,9.40,2025-06-02 09:42:57
Sensor-39,20.41,0.06,7.63,12.20,7.37,5.72,2025-06-02 10:47:22
Sensor-40,29.22,1.04,8.84,55.43,7.47,2.26,2025-06-03 01:08:55
Sensor-41,21.18,0.40,7.48,16.83,11.28,5.82,2025-06-02 14:19:11
Sensor-42,25.49,0.03,8.36,39.73,10.86,7.24,2025-06-02 16:45:58
Sensor-43,21.38,0.01,7.36,44.39,7.40,5.65,2025-06-02 19:59:23
Sensor-44,19.20,1.43,5.55,99.52,1.33,14.45,2025-06-03 04:37:50
Sensor-45,15.94,1.33,8.57,94.80,4.20,0.50,2025-06-03 06:52:19
Sensor-46,23.90,0.31,7.55,48.35,10.83,4.64,2025-06-02 14:40:14
Sensor-47,16.10,1.10,7.06,70.81,11.20,5.21,2025-06-02 12:41:10
Sensor-48,28.56,0.21,7.34,12.71,6.68,3.71,2025-06-03 05:31:44
Sensor-49,20.62,0.29,7.60,22.77,6.72,4.85,2025-06-03 02:34:52
Sensor-50,23.42,0.39,7.73,36.72,5.71,5.74,2025-06-02 21:29:33
Sensor-51,24.70,0.31,8.24,30.81,11.66,3.12,2025-06-03 06:43:59
Sensor-52,22.88,1.67,7.38,54.79,3.51,9.20,2025-06-02 21:43:06
Sensor-53,26.13,0.43,7.20,46.90,6.54,8.97,2025-06-03 01:02:04
Sensor-54,21.58,0.36,8.17,31.92,7.64,9.66,2025-06-02 21:25:15
Sensor-55,15.60,1.26,8.27,44.59,11.44,7.80,2025-06-02 16:10:32
Sensor-56,27.95,0.21,8.36,36.06,7.23,4.79,2025-06-03 04:11:06
Sensor-57,15.62,1.98,7.40,57.23,5.40,11.61,2025-06-03 00:57:06
Sensor-58,16.64,1.70,4.43,41.69,11.77,1.73,2025-06-02 11:44:53
Sensor-59,23.07,1.91,8.87,92.55,0.13,6.63,2025-06-03 00:33:50
Sensor-60,31.12,0.59,8.70,75.07,13.97,7.74,2025-06-03 02:07:27
Sensor-61,23.55,0.63,6.39,51.52,4.73,6.49,2025-06-03 04:45:37
Sensor-62,23.85,0.11,6.54,17.66,8.03,6.16,2025-06-03 00:39:25
Sensor-63,28.00,1.69,4.10,94.93,1.32,9.16,2025-06-02 13:47:29
Sensor-64,20.48,0.06,7.44,8.92,7.13,9.32,2025-06-02 12:37:33
Sensor-65,25.31,1.92,7.61,51.69,1.27,14.09,2025-06-02 16:09:16
Sensor-66,27.48,0.26,7.24,18.03,8.96,7.62,2025-06-03 05:30:23
Sensor-67,38.06,0.60,3.74,44.88,5.93,0.25,2025-06-02 21:07:25
Sensor-68,20.84,0.05,6.91,31.30,10.07,6.35,2025-06-02 23:01:41
Sensor-69,26.93,1.30,5.09,56.17,13.45,6.02,2025-06-03 05:12:11
Sensor-70,22.62,0.13,7.18,33.58,5.68,9.63,2025-06-02 18:08:27
Sensor-71,27.71,0.48,6.76,12.47,8.29,3.69,2025-06-02 11:09:31
Sensor-72,13.45,1.71,8.69,90.26,0.48,7.01,2025-06-03 01:35:55
Sensor-73,35.14,1.07,8.45,58.88,2.74,12.82,2025-06-02 17:08:25
Sensor-74,39.09,1.48,7.12,88.61,1.59,6.14,2025-06-03 04:52:33
Sensor-75,21.87,0.12,6.83,43.90,5.01,8.27,2025-06-03 02:48:06
Sensor-76,11.17,1.03,8.76,48.63,9.14,10.79,2025-06-02 23:01:06
Sensor-77,25.63,0.33,7.32,13.78,8.85,7.81,2025-06-02 22:59:48
Sensor-78,39.08,1.20,3.24,74.78,9.50,4.14,2025-06-02 21:24:29
Sensor-79,21.58,0.08,7.77,36.57,6.00,8.83,2025-06-02 19:30:58
Sensor-80,25.27,0.36,7.54,13.55,9.11,9.74,2025-06-02 14:26:12
Sensor-81,15.91,0.84,5.78,67.32,8.87,5.24,2025-06-03 04:57:02
Sensor-82,24.35,0.04,7.89,12.87,6.13,7.06,2025-06-03 06:37:35
Sensor-83,15.95,0.77,7.73,64.33,10.23,10.55,2025-06-02 19:26:05
Sensor-84,29.60,0.24,7.00,20.32,10.74,3.97,2025-06-02 22:09:05
Sensor-85,25.11,0.08,7.59,17.99,10.99,9.30,2025-06-03 02:24:47
Sensor-86,22.29,1.35,3.02,71.84,6.02,14.99,2025-06-02 11:13:30
Sensor-87,28.54,0.92,3.55,47.75,1.02,7.66,2025-06-03 07:56:17
Sensor-88,21.17,0.30,6.92,36.90,5.78,9.28,2025-06-02 11:29:43
Sensor-89,25.80,1.41,8.51,88.92,5.78,10.29,2025-06-02 21:47:38
Sensor-90,19.28,1.80,9.30,64.62,7.15,9.98,2025-06-02 13:38:20
Sensor-91,19.32,1.09,3.83,62.43,14.86,2.08,2025-06-02 15:46:17
Sensor-92,33.80,1.98,6.45,62.22,11.42,11.09,2025-06-03 06:45:26
Sensor-93,29.48,0.02,7.82,36.72,11.24,6.32,2025-06-02 23:30:23
Sensor-94,26.94,1.49,5.53,70.29,1.71,6.76,2025-06-02 19:54:50
Sensor-95,29.66,0.14,6.75,43.29,6.99,7.57,2025-06-02 09:22:11
Sensor-96,34.54,0.47,8.78,94.22,4.56,9.02,2025-06-03 02:02:05
Sensor-97,25.65,1.16,9.65,83.47,5.48,11.15,2025-06-02 20:26:14
Sensor-98,28.92,0.18,7.16,26.39,5.17,3.16,2025-06-02 19:31:47
Sensor-99,10.59,1.43,3.78,68.21,12.35,7.12,2025-06-02 13:39:32
Sensor-100,26.08,0.26,8.20,28.50,9.65,6.46,2025-06-02 17:09:15
Sensor-1,19.96,0.53,4.68,69.08,14.93,14.71,2025-06-02 09:56:56
Sensor-2,28.68,0.34,8.21,43.18,7.76,8.52,2025-06-03 03:51:22
Sensor-3,21.47,0.31,8.30,8.78,8.83,8.85,2025-06-03 05:01:15
Sensor-4,20.07,1.41,5.38,82.31,0.71,7.15,2025-06-02 09:49:27
Sensor-5,26.95,0.26,7.31,31.43,11.16,7.32,2025-06-03 04:11:22
Sensor-6,29.12,0.19,7.77,42.35,10.28,5.91,2025-06-02 22:08:48
Sensor-7,25.26,0.14,6.99,49.03,5.86,8.35,2025-06-02 23:01:35
Sensor-8,27.95,0.11,6.55,37.37,8.50,4.85,2025-06-02 18:41:16
Sensor-9,29.84,0.42,7.11,39.95,8.79,6.49,2025-06-03 07:19:39
Sensor-10,31.66,1.87,5.94,79.43,12.89,7.95,2025-06-02 21:10:48
Sensor-11,25.68,0.22,6.75,46.70,6.23,3.38,2025-06-02 16:25:41
Sensor-12,28.62,0.36,8.47,3.04,7.84,3.59,2025-06-02 12:08:22
Sensor-13,23.57,0.33,6.94,9.88,5.13,7.25,2025-06-03 07:30:29
Sensor-14,26.66,0.17,7.53,47.77,9.80,5.16,2025-06-03 02:00:52
Sensor-15,25.01,0.57,8.93,55.19,4.54,12.77,2025-06-03 08:40:15
Sensor-16,31.97,1.39,4.32,41.63,4.39,5.39,2025-06-03 05:32:28
Sensor-17,30.37,1.39,9.27,66.32,11.98,13.60,2025-06-02 09:24:07
Sensor-18,22.45,0.09,6.71,17.44,7.74,9.17,2025-06-03 01:17:05
Sensor-19,21.42,0.20,6.90,10.73,11.44,4.76,2025-06-03 06:51:11
Sensor-20,21.13,0.08,6.85,7.05,7.10,6.30,2025-06-02 19:25:42
Sensor-21,25.03,0.12,7.27,20.26,11.28,8.72,2025-06-02 16:54:33
Sensor-22,14.23,1.75,7.42,90.58,5.43,11.53,2025-06-02 13:11:57
Sensor-23,25.29,0.07,7.10,43.58,7.21,9.46,2025-06-03 09:04:28
Sensor-24,32.21,1.66,6.02,50.62,11.82,7.35,2025-06-03 02:06:22
Sensor-25,22.56,0.09,7.15,8.11,11.22,5.39,2025-06-02 16:54:40
Sensor-26,21.11,0.26,6.68,16.60,10.63,5.90,2025-06-03 08:42:57
Sensor-27,27.13,0.49,7.91,41.83,11.30,3.03,2025-06-02 10:32:22
Sensor-28,28.67,0.89,7.92,99.94,5.26,4.06,2025-06-03 06:15:37
Sensor-29,14.62,0.48,6.60,82.85,8.85,5.41,2025-06-03 08:48:15
Sensor-30,20.14,0.19,7.00,4.49,10.49,5.60,2025-06-02 09:29:16
Sensor-31,10.37,1.53,7.72,70.99,8.42,2.93,2025-06-02 19:06:53
Sensor-32,28.94,0.18,8.30,49.73,10.99,8.88,2025-06-03 07:01:15
Sensor-33,33.13,1.67,7.00,46.96,6.25,10.27,2025-06-02 17:16:51
Sensor-34,24.28,0.36,7.05,1.88,7.94,8.25,2025-06-03 07:03:43
Sensor-35,11.82,1.82,3.20,96.92,11.15,11.13,2025-06-03 01:11:30
Sensor-36,35.07,1.19,6.58,95.66,14.89,6.83,2025-06-02 15:12:09
Sensor-37,12.74,0.74,4.39,99.99,8.84,0.77,2025-06-02 10:56:30
Sensor-38,22.00,0.05,8.35,0.82,7.78,8.58,2025-06-02 20:21:04
Sensor-39,10.17,0.85,3.39,82.74,9.09,6.96,2025-06-02 22:22:50
Sensor-40,22.06,0.04,8.31,31.68,8.40,3.88,2025-06-03 09:21:35
Sensor-41,28.87,0.49,8.08,9.06,7.91,9.54,2025-06-02 22:39:49
Sensor-42,10.54,0.66,3.19,51.46,1.08,3.18,2025-06-02 19:08:13
Sensor-43,34.16,0.72,8.81,74.72,9.02,11.47,2025-06-03 03:17:48
Sensor-44,25.47,0.43,6.82,26.07,6.58,8.84,2025-06-02 11:36:34
Sensor-45,22.18,0.69,6.16,87.34,13.86,13.69,2025-06-02 20:54:53
Sensor-46,24.40,0.40,6.91,40.82,8.20,5.09,2025-06-02 10:55:32
Sensor-47,22.24,1.47,5.11,85.55,5.14,7.66,2025-06-03 05:10:24
Sensor-48,35.64,1.42,6.54,62.75,9.94,7.09,2025-06-02 15:05:12
Sensor-49,29.14,0.49,6.99,39.19,10.71,7.79,2025-06-02 23:30:09
Sensor-50,28.64,0.19,7.13,25.32,6.21,8.87,2025-06-02 10:15:45
Sensor-51,21.96,1.33,5.17,44.01,6.06,9.27,2025-06-02 22:31:52
Sensor-52,29.10,0.29,6.68,49.12,8.21,4.09,2025-06-02 17:23:19
Sensor-53,24.27,0.04,6.71,45.38,9.24,8.75,2025-06-02 09:36:36
Sensor-54,25.62,0.46,7.59,19.00,11.48,6.26,2025-06-02 10:02:50
Sensor-55,23.60,0.40,7.41,44.02,11.63,5.54,2025-06-03 00:47:58
Sensor-56,20.20,0.70,6.70,71.61,0.04,7.15,2025-06-02 09:32:26
Sensor-57,20.51,0.37,7.10,13.66,8.79,8.34,2025-06-02 22:01:53
Sensor-58,38.31,1.81,4.40,57.85,3.56,14.01,2025-06-02 09:44:00
Sensor-59,22.73,0.40,7.67,27.45,5.26,9.87,2025-06-03 04:02:35
Sensor-60,28.40,1.39,4.56,51.52,4.13,11.91,2025-06-03 06:42:20
Sensor-61,28.68,0.42,6.80,16.56,11.92,9.25,2025-06-03 04:14:39
Sensor-62,24.88,0.39,8.33,30.17,7.51,3.74,2025-06-03 06:34:24
Sensor-63,20.82,0.08,7.59,16.24,5.15,3.41,2025-06-03 02:09:12
Sensor-64,19.08,1.66,3.98,93.75,1.34,4.09,2025-06-03 08:38:53
Sensor-65,29.98,0.10,7.93,15.81,11.39,9.38,2025-06-02 15:39:46
Sensor-66,20.46,1.29,3.81,62.29,12.71,9.13,2025-06-02 22:18:25
Sensor-67,26.47,0.36,7.92,8.29,7.61,8.94,2025-06-02 17:37:28
Sensor-68,24.81,1.35,4.45,52.90,7.01,1.44,2025-06-02 09:55:17
Sensor-69,23.19,0.20,6.61,23.09,5.36,3.52,2025-06-02 15:18:50
Sensor-70,28.72,0.42,7.06,48.42,5.02,9.22,2025-06-03 05:43:38
Sensor-71,32.09,1.56,5.83,54.84,11.60,3.12,2025-06-02 14:14:07
Sensor-72,27.24,0.13,7.86,5.11,6.73,9.22,2025-06-02 23:54:09
Sensor-73,22.28,0.08,7.77,9.05,5.92,3.46,2025-06-02 22:21:35
Sensor-74,10.46,1.93,7.73,53.48,10.85,10.86,2025-06-03 00:33:24
Sensor-75,15.80,0.52,5.84,53.51,9.09,10.12,2025-06-03 05:26:55
Sensor-76,25.39,0.37,6.96,8.51,9.80,4.48,2025-06-03 08:43:14
Sensor-77,29.72,0.31,6.95,5.49,7.61,5.30,2025-06-02 17:54:26
Sensor-78,31.41,1.84,8.48,64.90,1.69,3.18,2025-06-03 06:51:18
Sensor-79,20.62,0.46,8.41,44.80,8.21,5.90,2025-06-02 12:20:50
Sensor-80,29.53,0.44,7.44,1.18,9.71,3.02,2025-06-02 21:27:39
Sensor-81,12.42,1.65,6.04,59.24,2.35,0.38,2025-06-02 12:14:42
Sensor-82,25.13,0.33,8.09,18.76,11.75,7.85,2025-06-02 17:23:45
Sensor-83,29.78,0.99,3.35,80.07,13.84,3.10,2025-06-02 13:05:36
Sensor-84,25.44,0.88,5.27,47.75,3.51,11.24,2025-06-03 04:11:13
Sensor-85,25.65,0.47,8.17,5.44,7.82,9.03,2025-06-03 07:18:35
Sensor-86,26.66,0.42,7.01,3.87,8.04,7.09,2025-06-02 23:08:43
Sensor-87,26.63,0.05,7.50,11.44,9.10,3.27,2025-06-03 09:16:35
Sensor-88,28.62,0.28,7.61,42.11,10.30,9.45,2025-06-03 00:23:54
Sensor-89,20.27,0.30,8.40,43.64,10.90,6.44,2025-06-02 10:30:04
Sensor-90,25.53,0.31,6.78,26.09,6.94,6.15,2025-06-02 12:30:11
Sensor-91,22.80,0.41,8.14,34.41,8.80,3.85,2025-06-02 22:25:05
Sensor-92,28.15,0.34,7.20,23.49,7.88,8.27,2025-06-02 23:14:38
Sensor-93,34.70,0.56,3.56,65.17,9.75,11.14,2025-06-02 09:51:09
Sensor-94,24.79,0.04,8.16,47.00,11.93,7.81,2025-06-02 16:21:51
Sensor-95,21.83,0.23,7.47,23.78,8.91,6.14,2025-06-02 10:42:42
Sensor-96,21.49,0.46,7.41,32.20,8.69,4.49,2025-06-03 07:23:17
Sensor-97,39.57,1.05,3.85,95.60,12.62,10.93,2025-06-02 10:01:20
Sensor-98,38.06,1.13,8.70,89.51,6.94,11.22,2025-06-03 04:05:27
Sensor-99,26.56,0.10,7.03,37.47,6.32,5.82,2025-06-03 02:18:30
Sensor-100,32.69,1.95,4.39,86.36,11.91,10.37,2025-06-02 21:28:11
Sensor-1,27.50,0.16,7.20,30.01,10.64,3.13,2025-06-03 08:52:53
Sensor-2,21.02,0.25,7.19,1.05,8.69,7.56,2025-06-03 06:29:52
Sensor-3,15.36,1.23,7.57,64.74,9.30,14.16,2025-06-03 01:54:40
Sensor-4,27.64,0.32,7.99,33.43,6.57,6.64,2025-06-02 17:22:15
Sensor-5,21.20,0.24,7.40,11.05,10.28,7.36,2025-06-02 19:14:13
Sensor-6,24.99,0.42,8.24,68.73,7.86,14.28,2025-06-02 19:03:39
